Buscando objetos do tipo ID: 406...
  startAt=0: +281 objetos (acumulado: 281/0)

ID           Key                       Label
3223814      GDA-3223814               Oracle Corporation ORACLE SERVER X7-2L
3223816      GDA-3223816               Oracle Corporation sun4v SPARC M5-32
3223818      GDA-3223818               Oracle Corporation sun4v SPARC M6-32
3223820      GDA-3223820               Oracle Corporation sun4v SPARC S7-2
3223822      GDA-3223822               Oracle Corporation sun4v SPARC T3-2
3223824      GDA-3223824               Oracle Corporation sun4v SPARC T4-4
3223826      GDA-3223826               Oracle Sparc T8
3223829      GDA-3223829               PowerEdge 1950
3223831      GDA-3223831               PowerEdge 2950
3223833      GDA-3223833               PowerEdge R410
3223837      GDA-3223837               PowerEdge R710
3223840      GDA-3223840               PowerEdge R740xd
3223842      GDA-3223842               PowerEdge R805
3223844      GDA-3223844               PRIMEQUEST 2800E
3223846      GDA-3223846               ProLiant BL460c G7
3223848      GDA-3223848               ProLiant BL460c Gen10
3223850      GDA-3223850               ProLiant BL460c Gen8
3223852      GDA-3223852               ProLiant BL460c Gen9
3223854      GDA-3223854               ProLiant BL465c G7
3223856      GDA-3223856               ProLiant BL465c Gen8
3223858      GDA-3223858               ProLiant BL620c G7
3223860      GDA-3223860               ProLiant BL660c Gen8
3223862      GDA-3223862               ProLiant BL660c Gen9
3223864      GDA-3223864               ProLiant BL680c G7
3223866      GDA-3223866               ProLiant BL685c G6
3223868      GDA-3223868               ProLiant BL685c G7
3223870      GDA-3223870               ProLiant DL360 G5
3223876      GDA-3223876               ProLiant DL380 G7
3223877      GDA-3223877               ProLiant DL380 Gen10
3223880      GDA-3223880               ProLiant DL380 Gen10 Plus
3223884      GDA-3223884               ProLiant DL385 G6
3223885      GDA-3223885               ProLiant DL980 G7
3223887      GDA-3223887               QEMU
3223889      GDA-3223889               r5.2xlarge
3223891      GDA-3223891               r5.xlarge
3223893      GDA-3223893               r5a.2xlarge
3223895      GDA-3223895               r5a.large
3223896      GDA-3223896               r5a.xlarge
3223898      GDA-3223898               r5n.large
3223900      GDA-3223900               r6a.large
3223902      GDA-3223902               r6g.2xlarge
3223904      GDA-3223904               r6g.4xlarge
3223906      GDA-3223906               r6g.xlarge
3223908      GDA-3223908               r6i.2xlarge
3223910      GDA-3223910               r6i.4xlarge
3223912      GDA-3223912               r6i.large
3223913      GDA-3223913               r7a.xlarge
3223915      GDA-3223915               rp3440
3223917      GDA-3223917               rp4440
3223919      GDA-3223919               rx2660
3223921      GDA-3223921               rx3600
3223923      GDA-3223923               rx4640
3223925      GDA-3223925               rx6600
3223930      GDA-3223930               SD64A
3223932      GDA-3223932               SD64B
3223934      GDA-3223934               Server 5
3223936      GDA-3223936               Server 7
3223937      GDA-3223937               Server 8
3223939      GDA-3223939               shape
3223942      GDA-3223942               SL3000
3223946      GDA-3223946               SPARC-Enterprise
3223950      GDA-3223950               Standard_B1s
3223951      GDA-3223951               Standard_B2as_v2
3223953      GDA-3223953               Standard_B2ms
3223955      GDA-3223955               Standard_B2s
3223957      GDA-3223957               Standard_B4as_v2
3223959      GDA-3223959               Standard_B4ms
3223961      GDA-3223961               Standard_D2s_v3
3223963      GDA-3223963               Standard_D32as_v4
3223967      GDA-3223967               Standard_D4_v2
3223965      GDA-3223965               Standard_D4s_v3
3223969      GDA-3223969               Standard_D8s_v3
3223971      GDA-3223971               Standard_DS3_v2
3223973      GDA-3223973               Standard_E2as_v4
3223975      GDA-3223975               Standard_F16s_v2
3223977      GDA-3223977               Standard_F2s_v2
3223979      GDA-3223979               Standard_F4s
3223980      GDA-3223980               Standard_F4s_v2
3223982      GDA-3223982               Standard_F8s_v2
3223984      GDA-3223984               Sun Fire X4800 M2
3223986      GDA-3223986               SUN MICROSYSTEMS SUN BLADE X6270 SERVER MODULE
3223988      GDA-3223988               Sun-Fire-T200
3223990      GDA-3223990               Sun-Fire-V440
3223994      GDA-3223994               Sun-Fire-V890
3224001      GDA-3224001               Superdome2
3224004      GDA-3224004               Superdome2 16s x86
3224007      GDA-3224007               System x3650 M3 -[7945AC1]-
3224009      GDA-3224009               t2.2xlarge
3224012      GDA-3224012               t2.large
3224015      GDA-3224015               t2.medium
3224018      GDA-3224018               t2.micro
3224020      GDA-3224020               t2.nano
3224023      GDA-3224023               t2.small
3224026      GDA-3224026               t2.xlarge
3224029      GDA-3224029               t3.2xlarge
3223983      GDA-3223983               t3.large
3224002      GDA-3224002               t3.medium
3224005      GDA-3224005               t3.micro
3224008      GDA-3224008               t3.nano
3224011      GDA-3224011               t3.small
3224014      GDA-3224014               t3.xlarge
3224017      GDA-3224017               t3a.2xlarge
3224019      GDA-3224019               t3a.large
3224022      GDA-3224022               t3a.medium
3224025      GDA-3224025               t3a.micro
3224028      GDA-3224028               t3a.small
3224030      GDA-3224030               t3a.xlarge
3224032      GDA-3224032               t4g.medium
3224034      GDA-3224034               t4g.small
3224036      GDA-3224036               T5240
3224040      GDA-3224040               UCSC-C240-M4L
3224042      GDA-3224042               UCSC-C240-M4SX
3224044      GDA-3224044               Ultra-4
3224046      GDA-3224046               Versão 19
3224049      GDA-3224049               Versão 6
3224052      GDA-3224052               Versão 8
3224054      GDA-3224054               Versão 9
3224058      GDA-3224058               Virtual Partition
3224061      GDA-3224061               VM.Standard.E3.Flex
3224064      GDA-3224064               VM.Standard.E4.Flex
3224065      GDA-3224065               VM.Standard.E5.Flex
3230997      GDA-3230997               VMWare
3224070      GDA-3224070               vmx-07
3224072      GDA-3224072               vmx-08
3224073      GDA-3224073               vmx-09
3224074      GDA-3224074               vmx-10
3224075      GDA-3224075               vmx-11
3224076      GDA-3224076               vmx-13
3224077      GDA-3224077               vmx-14
3224078      GDA-3224078               vmx-15
3224079      GDA-3224079               vmx-17
3224080      GDA-3224080               vmx-19
3224081      GDA-3224081               VWare Virtual Platform
3224082      GDA-3224082               X4-2L
3224083      GDA-3224083               X8000
3224084      GDA-3224084               Xen

Total: 0 objetos
